CLASIFICACION;IMPUTACION;ID;ANIO;CIIU4;TAMANO;TEED;A001;A002;A003;A004;A005;A008;A009;A011;A012;A010;B001;B002;B003;B004;B005;B006;B007;B008;B009;B010;B011;B012;B013;B014;B015;B016;B017;B018;B019;B020;B021;B022;B023;B024;B025;B026;B027;B028;B029;B030;B031;B032;B033;B034;B035;B036;B037;B038;B039;B040;B041;B042;B043;B044;B045;B046;B047;B048;B049;C001;C002;C003;C004;C005;C006;C007;C008;C009;C010;C011;C012;C013;C014;C015;C016;C017;C018;C019;C020;C021;C022;D001;D002;D003;D004;D005;D006;D007;D008;D009;D010;D011;D012;D013;D014;D015;D016;D017;D018;D019;D020;D021;D022;D023;D024;D025;D026;D027;D028;D029;D030;D031;D032;D033;D034;D035;D036;D037;D038;D039;D040;D041;D042;D043;F001;F002;F003;F004;F005;F006;F007;F008;F009;F010;F011;F012;G001;G002;G003;G004;G005;G006;G007;G008;G009;G010;G011;G012;G013;G014;G015;G016;G017;G018;G019;G020;G021;G022;G023;G024;G025;G026;G027;G028;G029;G030;G031;G032;G033;G034;G035;G036;G037;G038;G039;G040;G041;G042;G043;G044;G045;G046;H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020;I001;I002;I003;I004;I005;I006;I007;I008;I009;I010;I011;I012;I013;I014;I015;I016;I017;I018;I019;I020;I021;I022;I023;I024;I025;I026;I027;I028;I029;I030;I031;I032;I033;I034;I035;I036;I037;I038;I039;I040;I041;I042;I043;I044;I045;I046;I047;I048;I049;I050;I051;I052;I053;I054;I055;I056;I057;I058;I059;I060;I061;I062;I063;I064;I065;I066;I067;I068;I069;I070;I071;I072;I073;I074;I075;I076;I077;I078;I079;I080;I081;J001;J002;J003;J004;J005;J006;J007;J008;J009;J010;J011;J012;J013;J014;J015;J016;J017;J018;J019;J020;J021;J022;J023;J024;J025;J026;J027;J028;J029;J030;J031;J032;J033;J034;J035;J036;J037;J038;J039;J040;J041;J042;J043;J044;J045;J046;J047;J048;J049;J050;J051;J052;J053;J054;J055;J056;J057;J058;J059;J060;J061;J062;J063;J064;J065;J066;J067;J068;J069;J070;J071;J072;J073;J074;J075;J076;J077;J078;J079;J080;J081;J082;J083;J084;J085;J086;J087;J088;J089;J090;J091;J092;J093;J094;J095;J096;J097;J098;J099;J100;J101;J102;J103;J104;J105;J106;J107;J108;J109;K001;K002;K003;K004;K005;K006;K007;K008;K009
A;0;112833;2019;36;3;3;4;100;0;0;4;1;7;0;0;360.99991;0;0;112942;505783;146047;404961;15819;0;50911;18541;0;0;0;0;227048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1986;0;75162;0;0;16219;22567;0;9841;0;66637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23010;9305;0;8562;0;0;0;21813;0;0;22834;0;0;0;0;0;68618;0;0;2811;0;0;141436;319017;26479;259323;162405;1065613;10720;4311;22158;0;0;761;0;24442;0;9136;0;48146;90291;0;231000;77791;25999;0;0;37328;9356;0;0;0;0;115119;35355;0;0;1;2120046;216584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10350;1;22237;1000;0;0;884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;785303;0;6499080;0;201042;29492;0;3610;593002;0;54437;6030;0;235;0;0;0;0;0;0;2;1;2;1;5;4;5;4;1;1;1;1;19;0;19;0;5;0;2358;5;0;2822;5;0;1232;6;0;6635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;4;1;1;19;0;27;6;33;115490;54407;21817;114256;305970;0;0;0;0;0;0;305970;0;0;0;27;6;33;9489.1406;9489.1406;0;.7965368;0;.7965368;109968;1023;0;1951;0;0;0;0;0;0;870843;92036;0;70073;367546;100138;0;38099;738567;43376;0;4332;355262;47333;0;2366;738567;43376;0;4332;136782;8410;0;855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;969558;156904;0;43271;0;0;0;0;0;0;0;38786;227048;37950;591296;227048;7912907;1482052;585133;896919
A;0;115481;2019;37;6;6;4;10;90;0;4;1;7;0;0;360.99991;0;0;2316013;19705174;18365240;13359831;107730;0;663877;392362;1315411;0;566606;2083954;516924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1221;0;0;5359;644085;0;1675608;0;0;0;98702;348546;756505;0;1555716;1836628;1488922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;419901;158916;253678;134106;0;0;0;302045;158803;18384;477288;459540;137407;8617;0;0;446992;3363371;0;28656;35935;23381;276736;3770260;142828;11545309;3272601;25434754;548738;82578;4573453;0;0;0;3160499;206347;0;3779;0;3479474;11845510;0;11523881;57913;94642;0;0;261494;537150;0;0;0;0;319407;631792;0;0;1;68457512;5894702;0;0;0;0;0;0;0;0;0;0;0;0;0;1;281996;147215;1;117802;48940;0;0;0;0;0;0;0;0;6263;0;0;0;0;0;0;0;0;0;0;0;12666;8941;0;0;13188142;23674;0;0;0;0;777366;25623;0;289809;0;414219;181915;1473;96276;114735;1352;10719339;1;1;1;1;21;19;21;19;73;15;73;15;99;3;99;3;44;0;3718;44;22;26862;44;23984;92937;44;36985;84137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;21;19;73;15;99;3;194;38;232;224640;420640;1622972;1294354;3562606;0;0;0;0;0;0;3562606;0;0;0;194;38;232;587432;587432;0;7.0139475;0;7.0139475;2232511;2398;49814;31290;0;0;0;0;0;0;39979100;3993619;210420;4424133;16194206;86246;1347003;2077719;38533636;3228951;848215;3360258;11291658;110259;975482;982432;38533636;3228951;848215;3360258;15487881;154648;1353241;1369471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45206256;353551;3725540;4460912;0;0;0;0;0;0;0;1203753;4482895;8365268;19796696;4482895;14386462;59393124;18400960;40992164
A;0;115491;2019;37;8;8;5;100;0;0;4;1;7;0;0;360.99991;0;0;12424114;153442736;100617816;92343984;21306;0;28348820;2359518;1684311;0;0;646707;12737497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;398910;0;0;0;0;18447;0;124878;17713976;21632490;0;3409770;0;1900005;0;473328;394686;1341201;27739420;3199067;12417959;6442609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1183920;343204;3873970;1020458;0;0;0;2008686;0;305320;4754932;2016831;2359697;0;0;0;1638710;25527684;0;161459;32400;240298;2113506;33556240;1860591;55141684;11039661;149179248;941723;0;24768116;0;0;20579292;2509125;1329870;0;414943;0;41732640;141737184;5499399;132850688;798797;908990;0;0;16453;54237;0;0;0;0;815250;963227;0;0;1;116781920;9829235;0;0;0;0;0;0;0;0;0;0;0;0;0;1;315414;193664;1;601659;361597;0;0;156394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;172427;3130127;85790344;2203462;30515890;283570;560;406066;15978587;12687;20734992;63797;198;145730;1930135;0;2311513;101787;183317;187215;84;13;84;13;15;23;15;23;484;224;484;224;243;7;243;7;44;0;251955;44;1951;22433;44;25421;720508;44;22841;157948;365;211;365;211;44;0;44;0;20;0;20;0;999999;68848;19926;2486183;0;2008686;84;13;15;23;484;224;243;7;826;267;1093;11552369;625977;16946364;3278686;32403396;365;211;44;0;20;0;32403396;429;211;640;1255;478;1733;3619158.5;2530385.5;1088773;6.4129734;4.7124882;5.7849813;11497308;807774;15099;103933;0;0;0;0;0;0;349297984;97672056;6917176;18470140;113467568;31728240;2247008;5999925;338523584;94199568;17905322;2582008;68975936;19193652;3648303;526097;339497888;94231584;17905322;2582008;75205352;20874120;3966376;571964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;269146176;72603784;9876786;7201919;0;0;0;0;0;0;0;2209215;15068515;48798256;69749632;15592303;98871824;405150592;107868752;297281856
A;0;116049;2019;36;7;7;9;0;0;100;4;1;7;0;0;360.99991;0;0;1889351;20376132;9618149;0;43010;0;66814;24861;23879;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1829088;0;57162;0;7500;79119;11948;0;7516;546118;8903813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72425;10508;75900;85286;0;0;0;7572;52799;4060;52882;112328;17858;0;0;0;457649;585641;0;177674;0;0;74561;8210601;0;1877741;7533161;19408646;3956;0;14447;0;0;170395;636922;0;0;7617;0;0;881439;0;0;716859;455371;0;0;0;0;0;0;0;0;716859;455371;0;0;1;44201668;5010263;0;0;0;0;0;0;238;0;0;0;0;0;0;0;0;421;1;135030;65548;1;62350;42213;0;0;0;1;40;3937;0;0;0;0;0;0;0;0;0;0;0;0;1037;0;0;2066259;0;227000;299522;0;2939;538844;0;11930;26699;0;3762;0;0;0;0;0;1858883;2;1;2;1;122;99;122;99;23;18;23;18;280;23;280;23;44;3292;1168;44;21131;5924;44;37353;14475;44;163733;30439;1;1;1;1;2;0;2;0;12;1;11;0;5040;5040;30240;0;104248;0;2;1;122;99;23;18;280;23;427;141;568;130701;2692562;1389494;3945838;8158595;1;1;2;0;11.5;.5;8158595;14.5;1.5;16;441.5;142.5;584;1554701.9;1514381.9;40320;7.3855014;6.9806113;7.3744082;1832069;33416;6684;17182;0;0;0;0;0;0;42240220;4520954;3296880;2987500;16044997;1493092;1482001;1356041;0;0;0;0;0;0;0;0;41816392;3673970;5601124;1680568;7613328;666796;1034200;303825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25490394;2193304;2522885;1677048;0;0;0;0;0;0;0;98567;23879;825720;14991286;23879;2931324;32042196;16653741;15388455
A;0;116064;2019;36;4;2;4;100;0;0;4;1;7;0;0;360.99991;0;0;197061;9081302;988919;1903866;0;0;1446095;1532;0;0;0;566220;2928749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1270;0;0;0;0;64;0;2890;1426;56945;0;49662;0;47600;0;17925;0;208216;0;44274;340945;2150517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53527;32555;30484;47611;0;0;0;570;0;5026;179686;30132;6334;0;0;0;73620;519245;0;200;11109;2590;20470;315179;35526;2565704;254650;4184218;0;0;843931;0;56945;507657;63007;144367;0;201126;0;1656124;5408434;0;3569484;121388;159257;0;0;150;4203;0;0;0;0;121538;163460;0;0;1;17120036;1411778;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9484;5719;1;4501;2723;0;0;1093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1656084;63352;1742468;0;0;0;5470500;150;782437;13320;0;970;110429;0;10672;1358;0;0;0;0;0;0;0;0;0;0;5;1;5;1;7;1;7;1;0;0;0;0;0;0;44;287;6789;44;363;5566;22;1;22;1;5;0;5;0;12;0;12;0;46197;5616;14560;0;0;0;0;0;0;0;5;1;7;1;12;2;14;0;0;162711;140113;302824;22;1;5;0;12;0;302824;39;1;40;51;3;54;98790.992;32417.992;66373;6.4143252;4.5964694;5.0677652;175316;12837;26;8882;0;0;0;0;0;0;12673639;2179287;17255;2137371;6767178;1163646;9213;1141265;12512923;1977262;17251;713086;1565185;247327;2158;89196;12512923;2018305;19627;713086;810686;130762;1272;46199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9318365;1554572;12669;1285542;0;0;0;0;0;0;0;226141;3494969;1471540;2927668;3499129;7186831;17117904;5133957;11983947
A;0;116174;2019;36;4;4;6;100;0;0;4;1;7;0;0;360.99991;0;0;106695;1187219;586696;0;13030;0;0;3590;0;0;0;0;98325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47116;0;0;46887;39397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25723;0;19918;15175;0;0;0;25707;5415;1579;6022;0;0;0;0;0;85265;0;0;11427;977;7835;19439;763138;16403;274539;208558;1487120;0;0;72448;0;0;0;0;11373;0;0;0;15646;85973;0;0;0;0;0;0;51997;49449;0;0;0;0;51997;49449;0;0;1;2740908;258588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502;2;10;6334;2;3;2825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;267428;0;243676;0;0;410;0;0;28804;0;0;1649;0;0;0;0;0;0;2;0;2;0;4;6;4;6;3;2;3;2;46;0;46;0;45;0;1024;45;0;3794;45;0;1634;45;4464;10569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;3;2;46;0;55;8;63;80881;148330;64524;452382;746117;0;0;0;0;0;0;746117;0;0;0;55;8;63;150668.97;150668.97;0;6.6248517;0;6.6248517;92525;4048;0;10122;0;0;0;0;0;0;1463069;36851;0;394096;958528;21388;0;207303;0;0;0;0;0;0;0;0;962529;34394;0;47255;540270;19590;0;26836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1591323;45026;0;244261;0;0;0;0;0;0;0;86284;98325;72448;768134;98325;267428;1995555;562124;1433431
A;0;118040;2019;37;3;3;4;100;0;0;4;1;7;0;0;360.99991;0;0;18856;1540363;1729587;683315;0;0;19688;6727;0;0;0;0;179878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;4213;554;0;0;0;0;387;0;0;91059;54722;286933;82302;0;149577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31413;33859;3668;25815;0;0;0;0;0;3835;98422;55396;2675;0;0;0;28931;7207;0;10566;1353;6521;11068;930142;15527;229685;59405;1555488;121;7481;63073;1642;5;67475;0;31484;0;29655;0;276184;777942;0;748224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4817825;500235;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1889;0;0;3864;2;18;15221;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;302778;1642;189030;96874;2145;9270;32013;0;25319;6765;0;5271;1489;0;795;0;0;0;4;2;4;2;5;6;5;6;5;1;5;1;18;2;18;2;45;0;7959;45;36;4679;45;1625;5899;45;4082;8790;0;1;0;1;0;0;0;0;0;0;0;0;1200;0;0;19587;0;0;4;2;5;6;5;1;18;2;32;11;43;447844;103085;136561;215325;902815;0;1;0;0;0;0;902815;0;1;1;32;12;44;106733.69;105533.69;1200;6.7985387;3.3241005;6.719574;0;1381;17446;29;0;0;0;0;0;0;0;571540;3048250;190510;0;87016;1342326;111;0;12905;1507;0;0;19648;663667;0;0;54770;3986250;0;0;83384;1646203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191429;3669642;140;0;0;0;0;0;0;0;145781;179878;139797;988172;184091;436132;4182627;1502975;2679652
A;0;118205;2019;36;6;6;4;100;0;0;4;1;7;0;0;360.99991;0;0;861795;16068074;5337361;4722357;2050207;0;207584;499095;0;0;322;171509;954633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;626320;0;0;0;0;0;32345;0;515853;0;80846;144718;406116;3577344;324686;1027369;275437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;928775;17152;18247;167125;0;0;0;0;98256;66015;1560286;406261;179389;0;0;0;4263753;0;93593;21534;19849;78012;89707;4809931;0;0;7386911;20204796;458449;0;1134566;8059;1451117;1618768;278804;79710;13230;46144;27733;935612;1848315;0;0;492350;69217;0;0;646756;93290;0;0;0;0;1139106;162507;0;0;1;13327698;3778276;0;0;0;0;0;0;0;0;0;0;0;0;0;1;363990;174721;1;214356736;104121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;48;56;48;56;40;9;40;9;102;6;102;6;45;0;4000;45;7626;76543;45;5056;56461;44;30122;67361;9;16;12;12;1;0;5;2;29;0;31;0;13333;5304;25362;0;0;0;2;0;48;56;40;9;102;6;192;71;263;300296;1629103;1295833;1380334;4605566;10.5;14;3;1;30;0;4605566;43.5;15;58.5;235.5;86;321.5;691581;647582;43999;6.8207469;2.0834346;5.9587474;805938;33000;1996;20861;0;0;0;0;0;0;13571896;1952180;388986;2062072;12131994;1745065;347717;1843298;12371306;1418728;209179;1353177;3805383;436397;64343;416234;12371306;1418728;209179;1353177;4300967;493231;72722;470441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21044282;2707693;486778;2750834;0;0;0;0;0;0;0;631680;1126464;4949763;19866500;1126464;0;30872936;18788480;12084456
A;0;118210;2019;36;6;6;5;100;0;0;4;1;7;0;0;360.99991;0;0;2114124;24946056;14269352;7260781;490432;0;520992;678705;1196198;0;53813;0;1527019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1918861;0;209879;0;26127;123026;241284;1380951;182775;2040549;3212208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505332;60238;679643;141038;0;0;0;159769;820735;40486;183345;345619;297147;0;0;0;283825;5217299;0;51458;0;33432;464502;4400037;72400;6808486;5380812;25945604;261106;0;1225281;732836;0;2773;297380;258496;0;387381;0;3815032;11728010;0;0;466354;651438;0;0;91038;103577;0;0;0;0;557392;755015;0;0;1;47166972;4311224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39487;1;432247;194990;1;60;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;572;1821747;0;9989788;172320;2397343;1538082;0;462059;5627209;73878;1465324;371906;0;200730;40036;0;69521;1195422;63900;2213609;4;1;4;1;2;15;2;15;84;49;84;49;74;2;74;2;43;0;0;43;226;3328;43;5406;27887;43;27911;17949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;15;84;49;74;2;164;67;231;338770;200090;2696950;1115063;4350873;0;0;0;0;0;0;4350873;0;0;0;164;67;231;545801.88;545801.88;0;6.545095;0;6.545095;1984561;74100;2238;53225;0;0;0;0;0;0;35680020;5031816;272819;4007022;19465436;3227925;167755;2084941;34176192;4229182;298333;2045950;6060515;789945;58161;352160;34176192;4229182;298333;2045950;11910513;1552451;114302;692086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39421024;5644421;342456;3182412;0;0;0;0;0;0;0;390437;2777030;2519376;19088120;2777030;19142570;53057472;20374980;32682492
A;0;118215;2019;37;3;3;4;100;0;0;4;1;7;0;0;360.99991;0;0;42756;349578;143502;443418;0;7230;549;19766;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2706;0;0;0;51082;0;0;0;107;0;3202;10776;22544;107409;60061;88022;23977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15661;8413;28129;5778;0;0;0;1000;6832;48;3478;6565;0;0;0;0;1061;0;0;0;0;1633;0;223653;0;121727;1215;425193;0;0;3698;0;0;0;0;0;0;28832;0;0;-76527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1268998;157435;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3963;2521;2;4234;1957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3819273;0;119456;0;0;0;9770;0;2125;1403;0;146;179797;0;0;0;0;0;1;0;1;0;12;1;12;1;5;0;5;0;11;0;11;0;30;1;5996;40;1178;6890;40;328;2325;40;1250;2696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12;1;5;0;11;0;29;1;30;27034;41074;80906;56732;205746;0;0;0;0;0;0;205746;0;0;0;29;1;30;64126.984;64126.984;0;5.9212375;0;5.9212375;41484;328;0;944;0;0;0;0;0;0;933035;33573;0;159656;289602;10421;0;49555;933035;33573;0;42240;410096;14756;0;18566;933035;33573;0;42240;132718;4776;0;6008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;873900;30281;0;75073;0;0;0;0;0;0;0;36522;0;3698;271683;0;4010243;1006799;556502;450297
